Quarterly Census of Employment and Wages,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,ENUUS00010510,,,,,,,,,,,,
Series Title:,"All Employees in Private Total, all industries for All establishment sizes in U.S. TOTAL, NSA",,,,,,,,,,,,
State:,U.S. TOTAL,,,,,,,,,,,,
Area:,U.S. TOTAL,,,,,,,,,,,,
Industry:,"Total, all industries",,,,,,,,,,,,
Owner:,Private,,,,,,,,,,,,
Size:,All establishment sizes,,,,,,,,,,,,
Type:,All Employees,,,,,,,,,,,,
Years:,2001 to 2020,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2001,107933985,108104901,108932804,109317134,110144541,111102026,110203462,110390083,109537118,108747104,108603800,108640665,109304802
2002,105264949,105386536,106249664,107053742,108061576,108963057,108488565,108848570,108364815,107949908,108082205,108213787,107577281
2003,104904046,104809632,105516830,106276700,107301716,108146900,107762100,108231641,107878669,107843894,107886496,108228017,107065553
2004,105182376,105363888,106446187,107633064,108638863,109664453,109685793,109918950,109482844,109682026,109897818,110284529,108490066
2005,107097017,107508632,108400665,109888779,110750467,111725912,111829917,112167424,111897667,111604078,112050197,112411432,110611016
2006,109562757,109956246,111001540,111828149,112927195,114173463,113671262,114044311,113792616,113524000,113868793,114275969,112718858
2007,111222539,111449760,112536714,113188627,114375928,115522062,115027692,115299619,114772802,114654332,114975881,115120691,114012221
2008,111935103,112127815,112661107,113323353,114242722,114855310,114295931,114348132,113514630,112948795,112273344,111737470,113188643
2009,107594915,106958910,106811928,106847283,107479183,107808161,107208238,107074408,106531293,106407801,106353897,106289231,106947104
2010,103322328,103281556,104145136,105491399,106399881,107280096,107304134,107452769,107048095,107484263,107560927,107644196,106201232
2011,104898309,105223095,106058388,107501964,108294743,109088958,109292506,109553393,109400868,109411725,109712172,109781423,108184795
2012,107357771,107726396,108724842,109687451,110817504,111831346,111597874,111964898,111587565,111889137,112236990,112328655,110645869
2013,109529902,110037610,110847731,111908139,113079768,114002179,113973929,114417237,113936704,114251301,114762519,114752990,112958334
2014,111985802,112249914,113141029,114469705,115733830,116605867,116616173,117060623,116600595,117095010,117506213,117759472,115568686
2015,114924932,115205230,115869427,117194102,118440081,119313967,119544463,119725218,119203209,119841456,120142740,120287782,118307717
2016,117419929,117806441,118408763,119903907,120610509,121322430,121717166,121835998,121458886,121642875,122000203,121928351,120504622
2017,119218038,119726160,120426677,121447709,122522257,123605875,123488461,123681078,122944369,123530462,124014456,124033232,122386565
2018,121298729,121973528,122605965,123504932,124614084,125708224,125671666,125950187,125164777,125777693,126251960,126100309,124551838
2019,123609935,123972752,124493056,125483528,126463261,127365147,127412146,127665253,126793735,127321434,127943339,127781331,126358743
2020,125257385,125623587,124818333,105828651,109674230,114419251,115964583,116966182,117259985,119381418,119929789,119621795,
