DATE,pce
7/1/2001,1.7
10/1/2001,1.7
1/1/2002,1.5
4/1/2002,1.6
7/1/2002,1.9
10/1/2002,1.7
1/1/2003,1.7
4/1/2003,1.4
7/1/2003,1.3
10/1/2003,1.4
1/1/2004,1.7
4/1/2004,2
7/1/2004,2
10/1/2004,2.1
1/1/2005,2.2
4/1/2005,2.1
7/1/2005,2.1
10/1/2005,2.2
1/1/2006,2.1
4/1/2006,2.3
7/1/2006,2.5
10/1/2006,2.3
1/1/2007,2.4
4/1/2007,2.1
7/1/2007,2
10/1/2007,2.3
1/1/2008,2.1
4/1/2008,2.2
7/1/2008,2.2
10/1/2008,1.6
1/1/2009,1.1
4/1/2009,1.1
7/1/2009,0.9
10/1/2009,1.5
1/1/2010,1.7
4/1/2010,1.5
7/1/2010,1.3
10/1/2010,0.9
1/1/2011,1.1
4/1/2011,1.5
7/1/2011,1.8
10/1/2011,1.9
1/1/2012,2.1
4/1/2012,1.9
7/1/2012,1.7
10/1/2012,1.8
1/1/2013,1.5
4/1/2013,1.4
7/1/2013,1.5
10/1/2013,1.6
1/1/2014,1.5
4/1/2014,1.7
7/1/2014,1.7
10/1/2014,1.5
1/1/2015,1.3
4/1/2015,1.3
7/1/2015,1.2
10/1/2015,1.2
1/1/2016,1.5
4/1/2016,1.5
7/1/2016,1.7
10/1/2016,1.8
1/1/2017,1.8
4/1/2017,1.6
7/1/2017,1.5
10/1/2017,1.7
1/1/2018,1.8
4/1/2018,2.1
7/1/2018,2.1
10/1/2018,2
1/1/2019,1.7
4/1/2019,1.7
7/1/2019,1.8
10/1/2019,1.6
1/1/2020,1.8
4/1/2020,1
7/1/2020,1.4
10/1/2020,1.4
1/1/2021,1.6
