Year,Quarter,Wages,,,,,
2001 ,1 ,720 ,,,,,
2001 ,2 ,668 ,,,,,
2001 ,3 ,664 ,,,,,
2001 ,4 ,730 ,,,,,
2002 ,1 ,719 ,,,,,
2002 ,2 ,677 ,,,,,
2002 ,3 ,675 ,,,,,
2002 ,4 ,740 ,,,,,
2003 ,1 ,728 ,,,,,
2003 ,2 ,691 ,,,,,
2003 ,3 ,696 ,,,,,
2003 ,4 ,770 ,,,,,
2004 ,1 ,758 ,,,,,
2004 ,2 ,712 ,,,,,
2004 ,3 ,724 ,,,,,
2004 ,4 ,816 ,,,,,
2005 ,1 ,777 ,,,,,
2005 ,2 ,740 ,,,,,
2005 ,3 ,770 ,,,,,
2005 ,4 ,829 ,,,,,
2006 ,1 ,848 ,,,,,
2006 ,2 ,774 ,,,,,
2006 ,3 ,775 ,,,,,
2006 ,4 ,866 ,,,,,
2007 ,1 ,892 ,,,,,
2007 ,2 ,810 ,,,,,
2007 ,3 ,810 ,,,,,
2007 ,4 ,901 ,,,,,
2008 ,1 ,912 ,,,,,
2008 ,2 ,827 ,,,,,
2008 ,3 ,833 ,,,,,
2008 ,4 ,920 ,,,,,
2009 ,1 ,881 ,,,,,
2009 ,2 ,822 ,,,,,
2009 ,3 ,828 ,,,,,
2009 ,4 ,943 ,,,,,
2010 ,1 ,890 ,,,,,
2010 ,2 ,849 ,,,,,
2010 ,3 ,861 ,,,,,
2010 ,4 ,973 ,,,,,
2011 ,1 ,941 ,,,,,
2011 ,2 ,874 ,,,,,
2011 ,3 ,907 ,,,,,
2011 ,4 ,957 ,,,,,
2012 ,1 ,990 ,,,,,
2012 ,2 ,890 ,,,,,
2012 ,3 ,897 ,,,,,
2012 ,4 ,1008 ,,,,,
2013 ,1 ,994 ,,,,,
2013 ,2 ,909 ,,,,,
2013 ,3 ,914 ,,,,,
2013 ,4 ,1006 ,,,,,
2014 ,1 ,1035 ,,,,,
2014 ,2 ,930 ,,,,,
2014 ,3 ,940 ,,,,,
2014 ,4 ,1043 ,,,,,
2015 ,1 ,1056 ,,,,,
2015 ,2 ,959 ,,,,,
2015 ,3 ,964 ,,,,,
2015 ,4 ,1089 ,,,,,
2016 ,1 ,1048 ,,,,,
2016 ,2 ,979 ,,,,,
2016 ,3 ,1019 ,,,,,
2016 ,4 ,1070 ,,,,,
2017 ,1 ,1121 ,,,,,
2017 ,2 ,1010 ,,,,,
2017 ,3 ,1012 ,,,,,
2017 ,4 ,1115 ,,,,,
2018 ,1 ,1163 ,,,,,
2018 ,2 ,1045 ,,,,,
2018 ,3 ,1047 ,,,,,
2018 ,4 ,1146 ,,,,,
2019 ,1 ,1197 ,,,,,
2019 ,2 ,1085 ,,,,,
2019 ,3 ,1085 ,,,,,
2019 ,4 ,1188 ,,,,,
2020 ,1 ,1236 ,,,,,
2020 ,2 ,1179 ,,,,,
2020 ,3 ,1170 ,,,,,
2020 ,4 ,1352 ,,,,,
